id,date,pageNum
sn83025287,1883-09-13,7
sn83025287,1883-09-14,9
sn83025287,1883-09-15,9
sn83025287,1883-09-16,7
sn83025287,1883-09-17,7
sn83025287,1883-09-18,3
sn83025287,1883-09-19,3
sn83025287,1883-09-20,3
sn83025287,1883-09-21,3
sn83025287,1883-09-22,7
sn83025287,1883-09-23,10
sn83025287,1883-09-24,7
sn83025287,1883-09-25,7
sn83025287,1883-09-26,7
sn83025287,1883-09-27,7
sn83025287,1883-09-28,7
sn83025287,1883-09-29,7
sn83025287,1883-09-30,9
sn83025287,1883-10-01,8
sn83025287,1883-10-03,7
sn83025287,1883-10-04,7
sn83025287,1883-10-05,3
sn83025287,1883-10-07,10
sn83025287,1883-10-08,7
sn83025287,1883-10-09,7
sn83025287,1883-10-14,11
sn83025287,1883-10-15,7
sn83025287,1883-10-16,7
sn83025287,1883-10-17,7
sn83025287,1883-10-18,7
sn83025287,1883-10-19,3
sn83025287,1883-10-20,7
sn83025287,1883-10-21,11
sn83025287,1883-10-22,7
sn83025287,1883-10-23,7
sn83025287,1883-10-25,5
sn83025287,1883-10-28,11
sn83025287,1883-10-29,10
sn83025287,1883-10-30,7
sn83025287,1883-10-31,7
sn83025287,1883-11-01,7
sn83025287,1883-11-03,7
sn83025287,1883-11-05,7
sn83025287,1883-11-06,7
sn83025287,1883-11-07,7
sn83025287,1883-11-09,7
sn83025287,1883-11-10,7
sn83025287,1883-11-11,12
sn83025287,1883-11-12,7
sn83025287,1883-11-13,7
sn83025287,1883-11-14,7
sn83025287,1883-11-15,7
sn83025287,1883-11-16,7
sn83025287,1883-11-17,7
sn83025287,1883-11-18,11
sn83025287,1883-11-19,7
sn83025287,1883-11-20,7
sn83025287,1883-11-21,7
sn83025287,1883-11-22,11
sn83025287,1883-11-25,13
sn83025287,1883-11-26,7
sn83025287,1883-11-28,8
sn83025287,1883-12-01,7
sn83025287,1883-12-02,10
sn83025287,1883-12-04,7
sn83025287,1883-12-05,11
sn83025287,1883-12-06,7
sn83025287,1883-12-07,7
sn83025287,1883-12-10,11
sn83025287,1883-12-11,7
sn83025287,1883-12-12,9
sn83025287,1883-12-13,7
sn83025287,1883-12-14,7
sn83025287,1883-12-16,6
sn83025287,1883-12-17,9
sn83025287,1883-12-19,7
sn83025287,1883-12-20,7
sn83025287,1883-12-21,7
sn83025287,1883-12-22,7
sn83025287,1883-12-23,16
sn83025287,1883-12-24,7
sn83025287,1883-12-25,7
sn83025287,1883-12-27,7
sn83025287,1883-12-29,7
sn83025287,1883-12-30,7
sn83025287,1883-12-31,15
sn83025287,1884-01-01,9
sn83025287,1884-01-03,7
sn83025287,1884-01-05,8
sn83025287,1884-01-08,4
sn83025287,1884-01-11,7
sn83025287,1884-01-14,8
sn83025287,1884-01-15,7
sn83025287,1884-01-16,7
sn83025287,1884-01-17,7
sn83025287,1884-01-18,9
sn83025287,1884-01-21,7
sn83025287,1884-01-22,8
sn83025287,1884-01-23,13
sn83025287,1884-01-24,7
sn83025287,1884-01-25,8
sn83025287,1884-01-26,8
sn83025287,1884-01-27,7
sn83025287,1884-01-28,7
sn83025287,1884-01-29,8
sn83025287,1884-01-30,8
sn83025287,1884-01-31,7
sn83025287,1884-02-01,8
sn83025287,1884-02-02,8
sn83025287,1884-02-04,8
sn83025287,1884-02-05,10
sn83025287,1884-02-06,8
sn83025287,1884-02-07,7
sn83025287,1884-02-08,4
sn83025287,1884-02-09,9
